Word 1	Word 2	Human (mean)	W2V Similarity
love	sex	6.77	0.26393771171569824
tiger	cat	7.35	0.5172961950302124
tiger	tiger	10.0	0.9999999403953552
book	paper	7.46	0.3634625971317291
computer	keyboard	7.62	0.3963916301727295
computer	internet	7.58	0.4068623185157776
plane	car	5.77	0.37796980142593384
train	car	6.31	0.34025609493255615
telephone	communication	7.5	0.3321845233440399
television	radio	6.77	0.6114971041679382
media	radio	7.42	0.3899160921573639
drug	abuse	6.85	0.24085767567157745
bread	butter	6.19	0.6417260766029358
cucumber	potato	5.92	0.5678561925888062
doctor	nurse	7.0	0.6319523453712463
professor	doctor	6.62	0.21336083114147186
student	professor	6.81	0.4206618070602417
smart	student	4.62	0.06630216538906097
smart	stupid	5.81	0.47047194838523865
company	stock	7.08	0.3415686786174774
stock	market	8.08	0.4680556058883667
stock	phone	1.62	0.12326755374670029
stock	CD	1.31	0.06611791253089905
stock	jaguar	0.92	0.03606691211462021
stock	egg	1.81	0.10417767614126205
fertility	egg	6.69	0.256523460149765
stock	live	3.73	0.04447176307439804
stock	life	0.92	0.07456468045711517
book	library	7.46	0.324531227350235
bank	money	8.12	0.26132065057754517
wood	forest	7.73	0.4175162613391876
money	cash	9.15	0.6151220202445984
professor	cucumber	0.31	0.056618139147758484
king	cabbage	0.23	0.11813170462846756
king	queen	8.58	0.6510956883430481
king	rook	5.92	0.20875592529773712
bishop	rabbi	6.69	0.42778125405311584
Jerusalem	Israel	8.46	0.6638747453689575
Jerusalem	Palestinian	7.65	0.6342512369155884
holy	sex	1.62	0.10070593655109406
fuck	sex	9.44	0.22339172661304474
Maradona	football	8.62	0.28883829712867737
football	soccer	9.03	0.731354832649231
football	basketball	6.81	0.6682467460632324
football	tennis	6.63	0.5051178932189941
tennis	racket	7.56	0.3920080065727234
Arafat	peace	6.73	0.31498637795448303
Arafat	terror	7.65	0.3215480446815491
Arafat	Jackson	2.5	0.24712517857551575
law	lawyer	8.38	0.3446577191352844
movie	star	7.38	0.26419904828071594
movie	popcorn	6.19	0.44535526633262634
movie	critic	6.73	0.17430326342582703
movie	theater	7.92	0.47419044375419617
physics	proton	8.12	0.3664059340953827
physics	chemistry	7.35	0.43719831109046936
space	chemistry	4.88	0.0802517831325531
alcohol	chemistry	5.54	0.08876197040081024
vodka	gin	8.46	0.5971749424934387
vodka	brandy	8.13	0.6881492733955383
drink	car	3.04	0.24563539028167725
drink	ear	1.31	0.09346937388181686
drink	mouth	5.96	0.1730400174856186
drink	eat	6.87	0.5070200562477112
baby	mother	7.85	0.5839769840240479
drink	mother	2.65	0.15679939091205597
car	automobile	8.94	0.5838367938995361
gem	jewel	8.96	0.6210811138153076
journey	voyage	9.29	0.6830852627754211
boy	lad	8.83	0.588615894317627
coast	shore	9.1	0.5083667039871216
asylum	madhouse	8.87	0.2525393068790436
magician	wizard	9.02	0.48634958267211914
midday	noon	9.29	0.5527406930923462
furnace	stove	8.79	0.6083910465240479
food	fruit	7.52	0.37409260869026184
bird	cock	7.1	0.36290243268013
bird	crane	7.38	0.30286192893981934
tool	implement	6.46	0.2123422771692276
brother	monk	6.27	0.22320020198822021
crane	implement	2.69	0.023186152800917625
lad	brother	4.46	0.3595924973487854
journey	car	5.85	0.09849625825881958
monk	oracle	5.0	0.30354034900665283
cemetery	woodland	2.08	0.3819250762462616
food	rooster	4.42	0.1183064728975296
coast	hill	4.38	0.1611577570438385
forest	graveyard	1.85	0.22901122272014618
shore	woodland	3.08	0.116909459233284
monk	slave	0.92	0.19146227836608887
coast	forest	3.15	0.23609790205955505
lad	wizard	0.92	0.33023008704185486
chord	smile	0.54	0.14869236946105957
glass	magician	2.08	0.0372249074280262
noon	string	0.54	0.021654512733221054
rooster	voyage	0.62	0.06275810301303864
money	dollar	8.42	0.3135657012462616
money	cash	9.08	0.6151220202445984
money	currency	9.04	0.16010122001171112
money	wealth	8.27	0.3295103907585144
money	property	7.57	0.26824456453323364
money	possession	7.29	0.05318267643451691
money	bank	8.5	0.26132065057754517
money	deposit	7.73	0.2604113817214966
money	withdrawal	6.88	0.05602632835507393
money	laundering	5.65	0.2523637115955353
money	operation	3.31	0.0845692902803421
tiger	jaguar	8.0	0.5528684258460999
tiger	feline	8.0	0.4267144799232483
tiger	carnivore	7.08	0.42893752455711365
tiger	mammal	6.85	0.49644744396209717
tiger	animal	7.0	0.5096532702445984
tiger	organism	4.77	0.06294278800487518
tiger	fauna	5.62	0.3297567069530487
tiger	zoo	5.87	0.4692454934120178
psychology	psychiatry	8.08	0.555628776550293
psychology	anxiety	7.0	0.2719924747943878
psychology	fear	6.85	0.17129430174827576
psychology	depression	7.42	0.3135565519332886
psychology	clinic	6.58	0.12102102488279343
psychology	doctor	6.42	0.19066518545150757
psychology	Freud	8.21	0.3330824673175812
psychology	mind	7.69	0.25049886107444763
psychology	health	7.23	0.17619234323501587
psychology	science	6.71	0.4808834493160248
psychology	discipline	5.58	0.2597163915634155
psychology	cognition	7.48	0.3995116055011749
planet	star	8.45	0.19317105412483215
planet	constellation	8.06	0.39312952756881714
planet	moon	8.08	0.5024791955947876
planet	sun	8.02	0.3206743597984314
planet	galaxy	8.11	0.6338510513305664
planet	space	7.92	0.28036749362945557
planet	astronomer	7.94	0.30787551403045654
precedent	example	5.85	0.37273746728897095
